id,text
121,The wounded in the Holy Michely hospital have no medicine. (This looks like part of a message that got cut off)
122,"We are about 500 people. We're in Martissant 23, Village Dantes. God bless you."
123,"Digicel let me go through, it's an emergency"
124,Where can I find Capital Bank please?
125,We are in Plain of the Cul-de-sac. Where's the nearest food distribution?
126,I am listening to Radio Dabon. We need help and doctors in that area. We are unable to move around because we have no gas. Dabon is located close to Leogane.
127,"The message might be saying that they have been stuck in the presidential palace ( pal ) since the same Tuesday ( as the quake ). They need water. The message says they are not finding a little water. No names, no number of people given."
128,"I live in The Plain, my wife is pregnant, she got injured by falling blocks. She cannot walk. we have not found anyone to help us. We are in the area called Moya"
129,"Our imcomprehensibley of 9 member was repatriated incomprehensible - (Rental) Duvivier, Bottom Grango"
130,"URGENT ACTION NEEDED --this is follow up from previous SMS messages in regards to possible delivery... possible to deliver my baby in an other country, does not matter what it is.."
131,Please add airtime on my phone. Thanks
132,"We are in say need of food, water and temporary shelter. We need to know where we can get supplies. We are located in Frere Boukan, The plain."
133,"The road is damaged and there is no gas, would like to find a motorcycle. It costs 500 to go to Port-au-Prince. No one has any money."
134,I woul like to know if help is only available in pap as the provinces where badly hit as well
135,We have a factory that is on FIRE on road to the airport near Sogebank. It's starting to burn several nearby houses with documents left in ' em. Please come and help us!!!
136,"Good morning Radio One, there are a lot of victims in Fonds Verettes with no one to speak for us"
137,Can you contact post radio station for us because w do not have any representatives for any assistance in F V R T.
138,I would like to know if the radio announcers are alive.
139,A cold front is on Cuba this morning. It could cross Haiti tomorrow. Isolated rain showers are expected for our region.
140,"Our area, because we are in an area that has many victims with no help."
141,"I am in Petion Ville, in b. .. unintelligible, we have no water, there is nothing, there is no money. What is being given in Petion Ville and where?"
143,City that I'm near is Port-au-Prince for me 'm at Titanyen
144,We are a group of police and we found a kid on road 10? st anne please send rescue
146,"In the area of Saint Etienne the road to Jacmel is bloqu, it is trsdifficile to visit Jacmel"
147,"We are hungry, we are in the streets. We were robbed we are currently in Vivi Mitchell, Route Freres"
149,Please Bo Gravel Vob Ta Has 41 we are hungry. Need food.
150,where they should go for water today
151,"I don't know, Rue du Muguet Route de Desprez 7. Is there another location on the Airport Road?"
152,We live in The Full. Since Tuesday we've been sleeping on the street. Hunger is killing us.
153,"We live in The plain, we've sleeping in the streets since tuesday. Our house is destroyed. We are dying of thirst and hunger. we can't take this anymore. we'd like to know when the help is coming."
154,I am in LaPleine. Precise hire is Carrefour Marin.
155,There's a fire at the Perpetual help Church. Please send firefighters.
156,"I am from Anse a pitree my house which was in Delmas 32 was destroyed with everything I had inside. I went back to my hometown of Anse a pitrea. I would like to know how to get some help, because I have absolutely nothing!"
157,"We need food, medicine at lilovois 47 Monarch."
159,"We are not located in one place, and i want you to know there is a lot of available spaces to put up tent for shelters is the reason why we station in front of our house for more safety against thief, as you see."
160,"We have no food and water in Santo 15. They are distributing food and water everywhere, but we need it here too"
161,"We are in Boulder, we are hungry - Tabarre 41 a little further up from the american embassy."
162,"We have a committee from Santo 15 nameAjeans: Youth Association in action for a new society that was founded in September 2009, the president is.."
163,There are a lot of criminals in Jacmel city. We are asking the police to come there.
164,We are dying of hunger in Petion Ville
165,I'm exactly at Akay in an area they name Toman 43 miles near by Kabar in a location name Kafou lachomy.
166,What time will the American Embassy open tomorrow?
167,"We are a construction firm ( South African? ): Let us be recruited for your civilians, 2 architects - 2 stockholders? Wondering the needs of the moment."
170,What is being done for Jacmel - there are many people trapped underneath rubbles at college Latriniti help
171,Can people enter their houses? When will we have electricity?
172,We need all kinds of help in Bon Repos Road ONA VILE. The people really need help!!!!!
173,In what area is Thrush street? please is it in the city or in petion Ville?
174,"""Please, call'or write us if you need more information or if you need our help like beeing translators, food distributors or any services else from us. Th"
175,Is it true that the political city will held in Hinche?
176,"in what field would you need me to speak creole. French, half english, ( MW? )"
177,"unrecognized characterse initial training accelerated, organized by MENFP, financed by IDB, launched in truncated"
178,continuous previous truncated message : regarding education for all
181,Bizoton desperately needs help. We are humiliated.
182,Where can I find a car to leave in?
183,Hello Good Morning We live one 31 Delmas we are without water without food and what we had have finished Please do something for us!
184,"Carrefour Feuille extended, we need help. We are waiting!"
185,I am in the Crossroads on a street near EDH ( Electricity of Haiti? ) Help us please
187,"Everyone, do not forget the people of Merger, we don't have any water, we are hungry. If it rains, we will all die"
190,"Digicel, I have a problem, my family doesn't know where I am, I can't call, please help"
191,Please. Send humanitarian aid so we can survive. We are in Delmas 40B village of Musso on the golf course. Thank you
193,good evening we ? crossroads your ???we are dying of hunger and ther is no water pleas help us
194,the people in the village of god need food and water so that they can stay. It is isn't the university of Kiskeya ( in the area of delams 35 right of the main delmas road ). pleas respond
195,Can someone who has a visa to travel out. What can he do?
197,there are alot of victims that have arrived ath the Dealer Desalin and nan Ranboto hospital. they do not have enough supplys gold specialist ( surgeons ) i would like this looked into
198,"help us at delmas 65 orchid street, we are thirsty. thanks"
199,"we want people to know that people that were in Port au Prince that came to Cap-Haitian have no food to eat. ( Cap-Haitien is in the north, 250 km from Port-au-Prince )"
200,"And in St. Marc, just came to save their lives"
201,talk to me about the earthquake please.
202,?? port-au-prince ?? and food. they need goverment aid and international aid thak you. god bless haiti
204,I am in Liancourt (a province in the artibonit. we have recieved alot of victims from pap. in different condition. some are very serious some are not. pleas send help for these people.
205,"Hello, we live in The Plain, close to National Route #1, between the Crossroads Vencent and bary area. We need food, water, tents etc .."
206,we are in leogane mathieu habitation 3rd communal section of grand river we are waiting.
207,"We are at the top of Fontamara 43 (area of Intersection), at the top of the hill named label.. unrecognized characters. We did not get any assistance: water, food, tents, medicine."
208,The medicine should be distributed in all the departments ( counties ) because the hospital ( s ). ..
209,One thing I am asking the money tranfer offices is for them to open so we can get the money sent to us.
210,"PLEASE, We are in Nazon, Sylvio Cator street. We need water, food and other truncated"
211,"Good morning, to everyone that is listening in Miami and other countries helping. I have my wife and five kids that will starve to death in Haiti if they do not get help. PLease help them! God will bless you!"
212,"We are in Delmas 95. We need food, water, clothes. Our house was destroyed."
213,"Good afternoon, we are a group in Good Repo in Loubens street. We need help in every sense of the word, purpose nobody is thinking of us. Please do something for us. Bye"
214,"Please help us! We are in Primati Malgro. They gave them stuff but we did not get any. It's like you have to fight get something. We are hungry, thirsty-and we are suffering. Please help us!"
215,"I know of an internet service in Croix des Bouquets, Cliff Street. The more important would be to open wireless zones for everyone that has laptops"
216,There's a group of people under the rubles at Village Solidarite
217,I am in Delmas there is a problem with water
218,Send me some minutes for my phone
219,We are at Lycee Philippe Guerrier at the Cayes. We had to leave Port-au-Prince because of the bad odor and conditions of life in the capital. We need help please.
220,Watch out! This is a warning! There is a bad foul smell coming from the well that is lingering in the area. Near the CHurch of God near the yard of Woolio Nway''s house!
221,I live in St. Louis. I have some problems. Can take me some place because I have problems in Port-au-Prince. Thank you for your help!
222,There are many people badly wounded who had to go who can not eat.
223,Noone has come to visit us in Delmas A1. We need food and water!
224,go to delmas 1 near goldstar in painson s. yard - we need help
225,"We are in Jean Rabel, we have nothing to eat. Please come to us because we were in Port-au-Prince, we lost everything"
226,we have a lot of problems at Cape Haitian. The Hospital cannot take anymore people. Come help us please
227,"I need help rescuing someone under the rubble at the Caraibean University, Delmas 29 #5."
228,"Please, we need humanitarian aid because the Lwes region has been hit badly."
229,"Good evening, please come quickly to assist homeless victims who are in the village of Morin-section of Taifer, municipality of K-Crazy Crossroads. Thank you."
230,"In Cap Haitian there are a lot of problems : lack of food, medication, housing"
231,We are asking all United States agents to send money to Cape Haitian too
233,"hello my brother and my sister are in jan rabel we dont have anyone with us, if there is something we can do for the population we can do it because we are from port-au-prince"
234,"I am in the town of Jeremie in the Grand'anse Department. My boyfriend died, I'm 8 months pregnant, I don't have any money. Whatever you can do for me will be a deliverance, because 12 January"
235,"I am with the people in the Delmas 33 Z Silo that hit in the head, please send help"
236,We are from leogane -st matthew -we need food and water and shelter because of the rain
237,We just need to send this message to the Organization to support people because they are hungry. They need food and water.
238,"Good morning to the emergency relief people. We are in the Southern part of the country, area called Gabyon. People do not have food and water. Please we need help."
239,"Im Haitian my husband is alive in Port au Prince, my husband lost his work or pay family units which USA Im not thereas house still remains, my house is crushed making something"
240,"Good evening, I hope you Keep The Turtle in mind because a lot of people are coming on the island that are wounded, they don't have clothes or food for these people."
241,"We ARE in Port-Margot, in the Northern part of the Country. It is 2hrs driving from Cap-Haitian, We do not have anything to survive. We are dying, please help us."
242,Thanks to our donors for all support.
243,"Please, what can you do for us. We do not have anything."
244,"I can't locate on map, not sure if in Port-au-Prince We need aid nan delma (?) 9 rue de cosquer 16"
245,We heard that they are giving things out. We didn't get anything to eat gold and drink. Please bring some help to the crossroads!
246,"My house is destroyed in Carrefour. My house is destroyed in Port-au-Prince. The money that the government gave me is lost. My children die, but I am not hurt. Please if you can help me protect the house. ..."
247,(missing letter on first. probably t) My entire family would like you all to (obscured by symbol. probably do) do something for me because my livelihood is in Port-au-Prince
249,"people from st suzanne who were in port-au-prince, the students came, they didnt bring any clothes to wear, old students from sister remembered them thanks sister ade"
250,"Good evening! Please, can you help me. Since the earthquake, I left Port-au-Prince, I wonder if you can give me a digicel card so that I can call my family ( parents )"
251,"We are AMACHU, a humanitarian organization working in Delmas 75. We need aid because so many people have no food or water."
253,"Medicine and tent needed. We are counting on your support, because people are asking us to find this stuff for them. a hot plate of food per day. Thank you."
254,"Milk, protein, soap, juice, antibiotics, vitamins, sardines, hypotensive, anxiolytics, sleep aids, hypoglycemiants, antiflu, antitussive, anti-aney. .. "
255,I thank you for all the good work you're doing in the country. There are a lot of dead people here and a lot of people coming from P-a-P who are here with us in The Artibonite
256,"I need some medical equipment and food in the area of Fontamara, 43 Place. .. ?"
258,The RFP committee wants to alert the emergency service that they have a lot of people who leave Port-au-Prince to go to TOrbeck in the Sourthern part of the country. They are without food and money. They are dying for food.
259,Road off of 200/2 to the south of central Leogane. Same road that goes to Sabouce ends at Deslandes. No GPS coordinates available from here.
260,"tions, antihitamines, since, folic acid, antifungus, vitamin C, feminine pads, vaginal solutions, klorox, disinfectants.. "
261,"Hygienic . .. , mobile toilets, batteries, generators, DLO? toiletries, clothes, linens, underwear. .. 289 women, 181 men"
262,"taking our case into consideration, the movement of peasants ( cane ) from Deslands. .. . please advise"
263,. .. i with limited means. Some patients come from the capital.
265,"We are in St. Nicholas hospital in Saint-Marc, we need water, food, medicine. And many people are leaving the capital to come into the city now, send help."
266,"My friends I'm living in a difficult situation, I have family living in Paris I want to communicate with them because I need their help put a top-up my phone ( incomplete, contextual educated guess ( mete ti kat pou mwen has please top up my phone )"
267,We are the AFKA oragnisation in the city of port-au-prince. We have a lot of houses that have been damaged. We need help.
268,I am in Jean Rabel. I was hit in the stomach.
269,"They have a lot of people in the Saint-Marc ( in the park ) who are NOT originally from St-Marc, they left Port-au-Prince and tried to escape the tragedy but they do not have anything. Please come and help them."
271,I am a simple citizen who lives in the area of Mole Saint Nicolas. I (the missing word. probably want) all Haitian and international leaders to know that in this area we also need (obscured by symbol. probably aid) too because (it's cut off from there).
272,"There are about 500 to 600 of us in a temporary shelter in Grand Goave, every day more people are coming, we have a lot of problems like need for drinkable water, food, Medicine"
273,we are asking for shelter. we are asking for help please we can't take it anymore. Things have become too expansive and there is no money to buy any of it. We are in Grand Goave in Kanpion ( or Campion ) before. .. . ( the message is incomplete )
274,I don't even have clothes to wear.
275,"The responsible authorities please, I have a broken leg, I lost evrything I do not have a home to stay, no money no food"
276,"Good evening to the staff of Radio Nirvana. We have someone who is living ( sleeping ) on the streets of Port-au-Prince who needs help to go to Cap-Haitien, he doesn't. .."
277,"We do not have any money to pay for a bus, we are not people from the North, we do not know where to go and we already lost many at this present time, In this case what do we do?"
278,Hello carrefour truitier road jasmine villa B # 32 needs - incomplete
279,"they are in a area near a mountain hungry, sick their is no water please remember us"
280,I come back and nothing is the same my clothes are not there for me to put on
281,"Send cards ( airtime, calling cards ) for Digicel customers"
282,Fontamara 43 Polish church body of christ to people in need please advise
283,We need food and water at Croix des bouquets and Noailles.
284,"Digicel, please put some credit on our phones"
289,I'd like to know if there are nozzles to be taking people to The Cayes for free.
290,"Good evening. Please We need help in Delma 16, number 27. We don't have water, nor food. We don't have tents. Thank you for your understanding!"
291,"Come help us because we do not have enough water and food. We are in delmas 16, 27"
292,Good afternoon. We live Dubois ( at the top of mountain St. Antoine ). Hunger is Killing us!. WE NEED HELP!
293,The manager of digicel phone company sent out phone cards for his clients
294,Good morning and good evening. I would like for their be radio announcement about the diaster. everything is in the streets and piling up.
295,survivors at lalue near olympic market
296,"Us, the people of Matye 3, in the Grand rivye seksyon Leoganne, we are waiting for the help that they are bringing to us patiently cause we can't wait anymore"
298,"I want to make a call, I can't, there is a crowd of my relative and I can't hear, do me a favor please"
299,"People don't have no food neither, they would need to find some hot plates of food till they can"
301,"their is someone that left their home and never remembered to call their family, they will never know what happen"
302,"their is alot of problems, their is no money for the people"
303,We need help. We are a Seguineau road at the corner of nazon and bertholy. We really need water.
304,"my friend i have heard nothing again. i have a lot of problems. what u give I'll take I am in Jeremi, i want u to help me"
306,"Their is silence no bus 65. I hv no food, water and alot of other things. Please come"
307,"We are more than 50 people sleeping on the street. Please help us find tent, food."
308,"i need water, 27 bertin street, Crossroads"
309,How can we help the victims at The Cayes?
310,I need water in Carrefour Bertin
311,"Please do everything that is possible, thanks. god bless you"
312,The town of Les Cayes needs food items to ensure. . ( MESSAGE INCOMPLETE )
313,aid should reach the victims outside the city of p-au-p. we are in Gonaives when u get this message
315,sos water and food. need to find where this adress is located. ..
316,We need help please. .. call us
317,We haven't gotten help like water and food. Chiefs of the National Television
318,overpopulation in the city of cay. there is no security in this city. The cost of goods is risings. the people of les cayes are overwhelmed.
319,.. for the vehicles that must bring back limbeense and low-limbeense. thanks for helping them. Notes. - follow-up from other message Sebastien
320,"so i am asking you to help us becuase there is people that are dying from hunger and thirst at the THN, there was a truck full of big boxes that.. "
321,They have brought something today but the heads of the National Television took all of them for their family members. They had not done a fair distribution. Please help us. THanks.
322,Please save me! I am in Section Grand Riviere Leogane. I have one who already has a fever and non-stop diarrhea. I haven't found a hospital that can help me!
323,we're in the crossroads street ray near the hre building. we cannot take it any more. everything is finished. we cannot find the people.
324,rin more or less 3000 people - incomplete
325,I'm really happy you guys received my message. Please come and see us. We need first aid and all the help we can.
326,"We are in Leogane since the 12th january We need water, food and shelter"
328,No one can buy anything. Tiny amounts of rice are being sold at $ 350. Hunger is gonna finish us off. I come from la Gonave. I live in the second municipal section of the city of anse a galets. I have a ( incomplete )
329,I'm the vice president of the association Rafadek in Anse a galets. You can call me so that you could help people in La Gonave
331,"We have a lot of problem in Port-de-Paix, North-West also because a lot of people left Port-au-Prince to be there."
332,This person wants to know what the authority plans to do.
333,"This did not just happen in Port au Prince, it's up in Pot of Peace too."
334,I am outside of Port-au-Prince region in the North West. The case is very urgent
335,I need to know what's going to happen to the houses that haven't fallen yet?
336,I need all types of help for the people who survived the earthquake.
337,"Please send me some minutes so I can call my family in Paris, France. I need to call them so they can send me some help, relief because this is not good!"
340,"I'm at St-Marc, I just cam up to save some lives and they need it. They, whose have shelter nor do they have food."
341,The US feels help. I need some help I am in St. Stone.
342,"Onere and some food. Thanks for your understanding. ( Translator's note : are we getting the full message? Most of them appear to be bits of sentences, like this one )"
345,"Us, the tradeswoman of dessalines, rue perodin. we have problems. I have a lot of people in my house. Help me!"
346,Since the disaster I have been staying at a friends house in St Mark. I live in Crossroads but my house was destroyed and I lost everything! I am having difficulty living because I have nothing!
347,Message reads : Survivors are still sleeping in the streets. Please bring some advices for them for us please thank you.
349,We are in Matisan we have medical problems and we are in lack of water. This sms must be coming from an area that must have not received aid.
351,I was in Port-au-Prince and went to the north-west department. I want to know if internet is working in port-au-prince. Thank you. Let's keep contact
352,"I have no card, tell me what kind of SMS I need to send"
353,"Around my house, there are no cyber cafe for me to use"
354,"so, in the message you spoke of registering names. I'd like to know what purpose this serves. help me out. thank you"
355,I would like to leave this country and at my parents house in the USA. We are alone in Haiti. This is my number
356,The cyber cafes are not all damaged at Clercine purpose their owners left for the countryside because of lack of security
358,I don't know where there is a cyber cafe open. We are in the streets. We have no food. We have no water. If it rains we will get wet. Please find a way to help us.
361,"Please help me : I don't have food, I don't have any money to do anything. when are you gonna come see me? Please answer me."
362,Westnet we're in avenue Muller neighborhood and in Road St Alexandre.
363,It's up to you to do something for me. I am waiting for the response. You can call me.
367,"Don't forget the provinces like Mawouj in a little underprivileged area where a lot of people coming from Port-au-Prince came in, the food products became very expensive"
368,I don't know the address of a cyber cafe that is working.
369,"To register your name, or someone your looking for. Go to www. icrc. org"
371,I am a surviver of the earthkaque see how you can help me
372,all the internet places that are closer to me they are not operational because there us no electricity so i can' t charge my battery
373,The internet caf Net@the that's by the Dal road by the Maranata church ( incomplete )
375,"I am not in port-au-prince, I am in Blade do you know a place where there is working Internet"
376,no cybercafe working close to where i live
377,"This is the Arab from Blue Channel ( Artist-Journalist ), I have nothing that I want, along with all my family and I have a mission to give news about all artists that are alive. Blue channel seems to be a TV station, not a rental."
378,"Artists that have died, those who are wounded and those whom have disappeared I will be naming them today, there are more than 6 radio stations like Radio One, Radio Signal Fm, Maximum Caraib Fm, Light etc"
379,we are in need of food tents corvers water money. we are in croix des missions road/ butte boyer in the churche mormon year. we are 50 people. pascale saint georges
380,Telenet Internet Cafe on Plaisance's old building space hello digicel communication
381,"Please bring us help today, if you continue down siko ( ? ), in Carrefour, because we're dying of hunger"
382,the cyber cafe that is functioning is SERVICE MATICS the address is in front of the BREWERY THE CROWN.
383,K aTIS RAP CREOLE. CONTACT ME FAST. FAST VIA SMS or CALL URGENT it is very very important because it today im gonna do wats I got to do over the bariers am allready waiting
384,please hurry hurry today bring food with water for us in the road of SIKO IN THE AREA OF CAFFOURFEILLE. we urgently waiting.
385,there are no rooms at the mayors office that have internet access
386,radio one is givin all the people that has people abroad free call so they can call their people over seas
388,this sms is only giving you an address not much detail. . / 2 cyber cafe road of frere. . a litle under where the jumbala night club is..
389,There's an internet cafe at Nazon avenue by Marthin Luther King blvd next to the orange market below Genie Market
391,We have the internet at the Internet Cafe by It Place Cazeaux
392,Please give me some info on every aftershock this is a message
393,"we need help. kids need assistance at fontamara 37. kids sick diarrea, flue, thanks NOTE: could not locate fontamara 37 on the map."
395,HELP FOR THOSE WHO ARE HANDICAP IN THE AREA OF LOBOD IN KANPEREN
396,i am at delmas 40. we have nothing to eat. Rental approximate. .. could not find delmas 40 on the map. locate gps point midway between delmas 32 and delmas 48 Sebastien Cournoyer
397,We need help please at Titus Magloire Ambroise street we need every help group to contact the emergency opersonnele thank you
398,Adress : cyber cafe wich is functioning is in carfour fougy route 9
399,Don't know what to do about estaff touterene part at the end
400,"Hi, I have a big problem I need to call overseas and tell them I'm ok but I have no cell phone minutes, how can you help me in that respect"
401,We need food and water at Sicot street in the Crossroads. Help us please.
402,"they closed the bathroom and shower at the TNH, so we can no longer do our physical needs. .. . there is some children that poop on themselve because. .. Note : the Message was cutoff, need to look at other. .. . Sebastien Cournoyer"
403,MY PHONE HAS NO MINUTE CARD I CANT SEND ANY MESSAGE I WOULD NEED THE INTERNET I CANT CALL THE PERSON THAT COULD SEND THE MESSAGE.
404,"cyber cafe global univercell cabaret, 35 km from port-au-prince"
405,we are in need of food. water medicine we are in delma 33 road ALYANS 4 AND 5 zone Jerale batay. we are a family of 750 survivors we ar angry bad. help us please
406,"Sodecom cyber cafe. We are based in Bassin Bleu, rue Saint-Michel, after the old Teleco building. We are functioning."
407,ADDRESS CYBER CAFE IS MS NET ADRESS STIS HAITI PORT DE PAIX LACOUPE.
408,their are no internet that are functioning they are all down. . i dnt have any other way..
409,"If all cyber cafes in Port-au-Priince are broken, come join me in Saint-Marc. We will truncated"
410,i need a card to call my family.
411,"We are a few kilometers in the road to jacmel, Please come help us"
412,"Please there are a lot of people by Avenue N, Baryejo, and Croix-des-pres who need help, they are screaming for help, please come help us please"
413,WE FOUND A LOT OF PEOPLE IN ( KOMIN MONBIN KWOCHI ) THOSE WHO ARE VICTIMS SOME LOST THEIR LIVES SOME LOST THEIR HOMES. ALL THIS PEOPLE LIVES IN ( MONBIN KWOCHI )
414,We're asking to help for those people
415,the closest cyper cafe is express nety in croix des bouquet befog the police station. TN 4th message i translate advertising cyper cafe
416,"Rental - Family Christian Academy (school yard). Need food, water, medical, shelter. Not sure of exact rental purpose there is a Christian Academy near Port-Au-Prince."
417,People are saying that alot of artists died. I think me and other people would like to know the names of those artists that left us
418,We need water and food in Akazya.
419,"We're asking you please to bring everything that's possible. Food, clothse, water, money to save those people's lives. Where we are people died, houses fell"
420,Apparently there's a wave of cold upon Cuba this morning. It could go across haiti this morning. There will be rain for today in our region
423,HELP FOR THE CENTER OF FLORA around 400 demunis in DAMIEN to unibank in the yard of Pam pak
424,We are 350 survivors in kenskof in guibert 67. We are starving.
425,"Need food, water and medicine"
426,HELP ME PLEASE GOD WILL REPAY YOU THANK YOU. ADDRESS: CYBER CAFE MS HAITI IN THE YARD OF RUE NOTRE DAME LAKKOUP #156 ALL THE INSIDE
428,we are in pelerin 5. Translator notes. We have had unverified reports of escaped prisoners in this area. this is the first residential neighborhood along the kenskoff road. after leaving petion-ville
429,All local inhabitants needing food and shelter
431,I am not in town. I am outside in a area called Dezam Komin Veret in the artibonite. We have been hit this morning by an earthquake and the house has crumbled. Please help.
